itemLabel,areaLabel,partyLabel
Lawrence Ibon,Pibor Admin. Area,SPLM
Ogetho Cham Odel,Pibor Admin. Area,SPLM
David Okwer,Pibor Admin. Area,SPLM
David Yau Yau,Pibor Admin. Area,SPLM
Munira Abdelwab,Pibor Admin. Area,SPLM
Kengen Jakor Bejo,Pibor Admin. Area,SPLM
Hellen Ngadok Lukuryang,Pibor Admin. Area,SPLM-IO
Zungini Pako Buako,Pibor Admin. Area,SPLM-IO
Joseph Okuach Chan,Pibor Admin. Area,SPLM-IO
Margret Girma Lokurnyang,Pibor Admin. Area,SSOA
Sulafa Hassan Nashingoi Aroud,Pibor Admin. Area,SSOA
Majok Dau Cholek,Ruweng Admin. Area,SPLM
Bataria Manyroor Maker,Ruweng Admin. Area,SPLM
Riek Manyiel Ayuel,Ruweng Admin. Area,SPLM
Georgiatee Lat Mading,Ruweng Admin. Area,SPLM
